year,value,indicator_code,indicator_name,country_code,country_name
1961,5.00000000072309,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1962,4.66441467253127,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1963,8.10688692761114,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1964,11.9054807657866,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1965,7.09999999747173,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1966,6.09613930256681,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1967,5.85492487897324,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1968,9.42327881831926,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1969,3.41862002349839,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1970,6.50248403469675,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1971,3.76246768495716,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1972,8.22880731245257,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1973,7.86111986063614,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1974,5.77682723020618,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1975,5.74448504862428,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1976,4.41744413626853,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1977,3.39063970656844,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1978,8.95694232786306,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1979,9.69817013704461,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1980,8.75662242586424,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1981,9.58584115454994,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1982,-0.0495863656386035,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1983,-4.62412795987231,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1984,3.51341334932273,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1985,1.91921578613494,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1986,-3.92995990782299,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1987,2.06336322631584,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1988,1.21826122938586,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1989,3.62544873456009,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1990,5.25004329944582,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1991,3.97590497138043,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1992,3.56861354412243,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1993,2.86699945461075,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1994,4.39412788764169,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1995,-5.91029962358286,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1996,6.21829715869302,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1997,7.19887615284711,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1998,6.18507893082885,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
1999,2.75503039300564,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2000,5.02928399378261,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2001,-0.450845253215945,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2002,-0.236588001922641,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2003,1.18554486709559,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2004,3.56544100946846,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2005,2.11324712586392,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2006,4.80501352746852,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2007,2.07786393438754,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2008,0.943331863036903,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2009,-6.29525055780502,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2010,4.9713345832195,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2011,3.44404505794418,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2012,3.55321075993527,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2013,0.852101559410627,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2014,2.50376350288664,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2015,2.70232342550646,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2016,1.77249323845399,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2017,1.87172853327193,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2018,1.97208209405635,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2019,-0.392690505066824,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2020,-8.35403458167995,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2021,6.0484834621255,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2022,3.70975709163623,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2023,3.35354140652768,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
2024,1.42742769080466,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),MEX,Mexico
